Optimization,m,M,i,D,Sens,PPV,PocNum_Mean,PocNum_Max
1,3,5.4,30,2,1,0.538,2,3
1,3,5.8,30,1.6,1,0.483,2.23,5
1,3.4,5.4,20,2.8,1,0.481,2.08,5
1,3.4,5.4,15,2,1,0.469,2.46,6
1,3,5.4,25,1.6,1,0.467,2.31,4
1,3,5.8,25,1.6,1,0.405,2.85,5
1,3,6.2,30,1.6,1,0.405,2.85,6
1,3,5.4,25,2,1,0.378,2.85,5
1,3,5.4,30,2.4,1,0.371,2.69,6
1,3.4,5.4,15,2.4,1,0.368,2.92,6
1,2.6,5.4,30,1.6,1,0.349,3.31,8
1,3,6.2,25,1.6,1,0.348,3.54,6
1,3.4,5.4,20,3.2,1,0.342,2.92,8
1,3,5.4,20,1.6,1,0.341,3.15,7
1,3,5.8,30,2,1,0.333,3.23,6
1,2.6,5.8,30,1.6,1,0.327,4,9
1,3.4,5.8,25,3.2,1,0.302,3.31,7
1,3,5.8,30,2.4,1,0.3,3.85,6
1,3,5.8,20,1.6,1,0.296,4.15,9
1,3,6.6,30,1.6,1,0.294,3.92,8
1,3,5.4,25,2.4,1,0.283,3.54,6
1,2.6,6.2,30,1.6,1,0.279,4.69,10
1,3.4,5.4,15,2.8,1,0.277,3.62,8
1,3,5.4,20,2,1,0.275,3.92,7
1,3,7,30,1.6,1,0.273,4.23,9
1,3.4,5.4,15,3.2,1,0.265,3.77,8
1,2.6,5.4,25,1.6,1,0.263,4.38,10
1,3.4,5.4,10,2,1,0.259,4.46,12
1,3.4,5.8,20,3.2,1,0.255,3.92,8
1,3.4,5.8,20,2.8,1,0.25,4,9
1,3,5.8,25,2,1,0.25,4.31,8
1,3,6.2,30,2,1,0.25,4.31,9
1,2.6,5.8,25,1.6,1,0.246,5.31,12
1,3,6.6,25,1.6,1,0.246,5,10
1,3,5.8,25,2.4,1,0.242,4.77,8
1,3,5.4,15,1.6,1,0.237,4.54,10
1,3,5.4,20,2.4,1,0.232,4.31,8
