Parameters,PDB_ID,Pocket,Pocket_Type,Ligand_Overlap,Pocket_Overlap,Center_Offset,Volume_Ratio,PDB_count,PocNum_Max
m2.6_M5.0_i20_D1.6,1Q8N,1,Known,0.6,0.763,5.86,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,2,Known,0.48,1,4.65,,13,6
m2.6_M5.0_i20_D1.6,1Q8N,6,Known,0.36,0.938,4.9,,13,6
m2.6_M5.0_i20_D1.6,3E5C,3,Known,0.407,1,4.37,,13,3
m2.6_M5.0_i20_D1.6,3NPQ,2,Known,0.5,1,4.58,,13,4
m2.6_M5.0_i20_D1.6,4RZD,1,Known,0.923,0.854,2.34,,13,5
m2.6_M5.0_i20_D1.6,5KX9,3,Known,0.593,0.846,3.86,,13,8
m2.6_M5.0_i20_D1.6,6FZ0,2,Known,0.593,0.971,3.79,,13,5
m2.6_M5.0_i20_D1.6,6LAS,1,Known,0.556,1,4.23,,13,5
m2.6_M5.0_i20_D1.6,6UBU,1,Known,1,1,0.819,,13,3
m2.6_M5.0_i20_D1.6,7ELR,1,Known,1,0.921,1.17,,13,3
m2.6_M5.0_i20_D1.6,7ELR,2,Known,0.455,0.303,4.89,,13,3
m2.6_M5.0_i20_D1.6,8D2B,1,Known,0.543,1,4.78,,13,4
m2.6_M5.0_i20_D1.8,1F27,2,Known,0.625,1,1.25,,13,2
m2.6_M5.0_i20_D1.8,1Q8N,1,Known,1,0.736,1.02,,13,4
m2.6_M5.0_i20_D1.8,3E5C,2,Known,0.407,1,4.37,,13,3
m2.6_M5.0_i20_D1.8,3NPQ,2,Known,0.5,1,4.58,,13,4
m2.6_M5.0_i20_D1.8,4RZD,1,Known,0.923,0.854,2.34,,13,5
m2.6_M5.0_i20_D1.8,5KX9,5,Known,0.593,0.724,4.53,,13,10
m2.6_M5.0_i20_D1.8,6FZ0,2,Known,0.593,0.944,3.75,,13,5
m2.6_M5.0_i20_D1.8,6LAS,2,Known,0.556,1,4.23,,13,5
m2.6_M5.0_i20_D1.8,6UBU,2,Known,1,0.78,1.62,,13,3
m2.6_M5.0_i20_D1.8,7ELR,1,Known,1,0.727,0.869,,13,3
m2.6_M5.0_i20_D1.8,8D2B,1,Known,0.543,0.982,4.73,,13,5
m2.6_M5.0_i20_D2.0,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i20_D2.0,1Q8N,1,Known,1,0.709,0.965,,13,5
m2.6_M5.0_i20_D2.0,3E5C,2,Known,0.778,1,3.03,,13,3
m2.6_M5.0_i20_D2.0,3NPQ,2,Known,0.5,1,4.58,,13,5
m2.6_M5.0_i20_D2.0,4RZD,1,Known,1,0.857,2.28,,13,7
m2.6_M5.0_i20_D2.0,5KX9,12,Known,0.593,0.714,4.53,,13,13
m2.6_M5.0_i20_D2.0,6FZ0,3,Known,0.593,0.945,3.79,,13,5
m2.6_M5.0_i20_D2.0,6LAS,2,Known,0.556,0.961,4.2,,13,6
m2.6_M5.0_i20_D2.0,6UBU,1,Known,1,0.423,2.18,,13,3
m2.6_M5.0_i20_D2.0,7ELR,1,Known,1,0.711,0.825,,13,2
m2.6_M5.0_i20_D2.2,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i20_D2.2,1Q8N,1,Known,1,0.471,1.37,,13,4
m2.6_M5.0_i20_D2.2,3E5C,2,Known,0.778,1,2.95,,13,4
m2.6_M5.0_i20_D2.2,3NPQ,2,Known,0.5,1,4.58,,13,6
m2.6_M5.0_i20_D2.2,4B5R,2,Known,0.407,0.833,4.62,,13,6
m2.6_M5.0_i20_D2.2,4RZD,1,Known,1,0.824,2.33,,13,7
m2.6_M5.0_i20_D2.2,5KX9,13,Known,0.815,0.7,4.53,,13,13
m2.6_M5.0_i20_D2.2,6FZ0,3,Known,0.593,0.945,3.79,,13,5
m2.6_M5.0_i20_D2.2,6LAS,2,Known,0.556,0.961,4.2,,13,6
m2.6_M5.0_i20_D2.2,6UBU,1,Known,1,0.432,2.14,,13,6
m2.6_M5.0_i20_D2.2,7ELR,2,Known,1,0.686,0.815,,13,2
m2.6_M5.0_i20_D2.4,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i20_D2.4,1Q8N,1,Known,1,0.451,1.23,,13,4
m2.6_M5.0_i20_D2.4,3E5C,2,Known,0.778,0.85,3,,13,4
m2.6_M5.0_i20_D2.4,3NPQ,3,Known,0.5,1,4.58,,13,7
m2.6_M5.0_i20_D2.4,4B5R,2,Known,0.407,0.606,6,,13,6
m2.6_M5.0_i20_D2.4,4RZD,2,Known,1,0.836,1.91,,13,9
m2.6_M5.0_i20_D2.4,5KX9,2,Known,0.926,0.369,2.94,,13,14
m2.6_M5.0_i20_D2.4,6FZ0,4,Known,0.704,0.946,3.74,,13,6
m2.6_M5.0_i20_D2.4,6LAS,2,Known,0.556,0.961,4.2,,13,6
m2.6_M5.0_i20_D2.4,6UBU,1,Known,1,0.429,2.18,,13,8
m2.6_M5.0_i20_D2.4,7ELR,1,Known,1,0.604,0.677,,13,4
m2.6_M5.0_i25_D1.6,1Q8N,1,Known,0.6,0.763,5.86,,13,4
m2.6_M5.0_i25_D1.6,1Q8N,2,Known,0.48,1,4.65,,13,4
m2.6_M5.0_i25_D1.6,1Q8N,4,Known,0.36,0.938,4.9,,13,4
m2.6_M5.0_i25_D1.6,3E5C,3,Known,0.407,1,4.37,,13,3
m2.6_M5.0_i25_D1.6,3NPQ,2,Known,0.5,1,4.58,,13,3
m2.6_M5.0_i25_D1.6,4RZD,1,Known,0.923,0.854,2.34,,13,4
m2.6_M5.0_i25_D1.6,5KX9,3,Known,0.593,0.846,3.86,,13,5
m2.6_M5.0_i25_D1.6,6FZ0,2,Known,0.593,0.971,3.79,,13,3
m2.6_M5.0_i25_D1.6,6LAS,1,Known,0.556,1,4.23,,13,4
m2.6_M5.0_i25_D1.6,6UBU,1,Known,1,1,0.819,,13,2
m2.6_M5.0_i25_D1.6,7ELR,1,Known,1,0.921,1.17,,13,3
m2.6_M5.0_i25_D1.6,7ELR,2,Known,0.455,0.303,4.89,,13,3
m2.6_M5.0_i25_D1.6,8D2B,1,Known,0.543,1,4.78,,13,2
m2.6_M5.0_i25_D1.8,1F27,2,Known,0.625,1,1.25,,13,2
m2.6_M5.0_i25_D1.8,1Q8N,1,Known,1,0.736,1.02,,13,3
m2.6_M5.0_i25_D1.8,3E5C,2,Known,0.407,1,4.37,,13,2
m2.6_M5.0_i25_D1.8,3NPQ,2,Known,0.5,1,4.58,,13,3
m2.6_M5.0_i25_D1.8,4RZD,1,Known,0.923,0.854,2.34,,13,5
m2.6_M5.0_i25_D1.8,5KX9,5,Known,0.593,0.724,4.53,,13,7
m2.6_M5.0_i25_D1.8,6FZ0,2,Known,0.593,0.944,3.75,,13,5
m2.6_M5.0_i25_D1.8,6LAS,2,Known,0.556,1,4.23,,13,4
m2.6_M5.0_i25_D1.8,6UBU,2,Known,1,0.78,1.62,,13,3
m2.6_M5.0_i25_D1.8,7ELR,1,Known,1,0.727,0.869,,13,2
m2.6_M5.0_i25_D1.8,8D2B,1,Known,0.543,0.982,4.73,,13,2
m2.6_M5.0_i25_D2.0,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i25_D2.0,1Q8N,1,Known,1,0.709,0.965,,13,4
m2.6_M5.0_i25_D2.0,3E5C,2,Known,0.778,1,3.03,,13,2
m2.6_M5.0_i25_D2.0,3NPQ,2,Known,0.5,1,4.58,,13,4
m2.6_M5.0_i25_D2.0,4RZD,1,Known,1,0.857,2.28,,13,5
m2.6_M5.0_i25_D2.0,5KX9,7,Known,0.593,0.714,4.53,,13,7
m2.6_M5.0_i25_D2.0,6FZ0,3,Known,0.593,0.945,3.79,,13,5
m2.6_M5.0_i25_D2.0,6LAS,2,Known,0.556,0.961,4.2,,13,5
m2.6_M5.0_i25_D2.0,6UBU,1,Known,1,0.423,2.18,,13,2
m2.6_M5.0_i25_D2.0,7ELR,1,Known,1,0.711,0.825,,13,2
m2.6_M5.0_i25_D2.2,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i25_D2.2,1Q8N,1,Known,1,0.471,1.37,,13,2
m2.6_M5.0_i25_D2.2,3E5C,2,Known,0.778,1,2.95,,13,2
m2.6_M5.0_i25_D2.2,3NPQ,2,Known,0.5,1,4.58,,13,5
m2.6_M5.0_i25_D2.2,4RZD,1,Known,1,0.824,2.33,,13,5
m2.6_M5.0_i25_D2.2,5KX9,9,Known,0.815,0.7,4.53,,13,9
m2.6_M5.0_i25_D2.2,6FZ0,3,Known,0.593,0.945,3.79,,13,5
m2.6_M5.0_i25_D2.2,6LAS,2,Known,0.556,0.961,4.2,,13,5
m2.6_M5.0_i25_D2.2,6UBU,1,Known,1,0.432,2.14,,13,3
m2.6_M5.0_i25_D2.2,7ELR,2,Known,1,0.686,0.815,,13,2
m2.6_M5.0_i25_D2.4,1F27,2,Known,0.688,1,1.37,,13,2
m2.6_M5.0_i25_D2.4,1Q8N,1,Known,1,0.451,1.23,,13,3
m2.6_M5.0_i25_D2.4,3E5C,2,Known,0.778,0.85,3,,13,3
m2.6_M5.0_i25_D2.4,3NPQ,3,Known,0.5,1,4.58,,13,5
m2.6_M5.0_i25_D2.4,4B5R,2,Known,0.407,0.606,6,,13,5
m2.6_M5.0_i25_D2.4,4RZD,2,Known,1,0.836,1.91,,13,6
m2.6_M5.0_i25_D2.4,5KX9,2,Known,0.926,0.369,2.94,,13,9
m2.6_M5.0_i25_D2.4,6FZ0,4,Known,0.704,0.946,3.74,,13,5
m2.6_M5.0_i25_D2.4,6LAS,2,Known,0.556,0.961,4.2,,13,5
m2.6_M5.0_i25_D2.4,6UBU,1,Known,1,0.429,2.18,,13,5
m2.6_M5.0_i25_D2.4,7ELR,1,Known,1,0.604,0.677,,13,2
m2.6_M5.0_i30_D1.6,1Q8N,1,Known,0.6,0.763,5.86,,13,3
m2.6_M5.0_i30_D1.6,1Q8N,2,Known,0.48,1,4.65,,13,3
m2.6_M5.0_i30_D1.6,1Q8N,3,Known,0.36,0.938,4.9,,13,3
m2.6_M5.0_i30_D1.6,3NPQ,2,Known,0.5,1,4.58,,13,2
m2.6_M5.0_i30_D1.6,4RZD,1,Known,0.923,0.854,2.34,,13,2
m2.6_M5.0_i30_D1.6,5KX9,3,Known,0.593,0.846,3.86,,13,4
m2.6_M5.0_i30_D1.6,6FZ0,2,Known,0.593,0.971,3.79,,13,2
m2.6_M5.0_i30_D1.6,6LAS,1,Known,0.556,1,4.23,,13,3
