Parameters,PDB_ID,Pocket,Pocket_Type,Ligand_Overlap,Pocket_Overlap,Center_Offset,Volume_Ratio,PDB_count,PocNum_Max
m2.8_M5.4_i36_D1.5,1F27,1,Known,0.75,1,1.72,,13,1
m2.8_M5.4_i36_D1.5,1Q8N,1,Known,1,0.909,1.11,,13,1
m2.8_M5.4_i36_D1.5,2GDI,1,Overlap,0.5,1,6.47,,13,1
m2.8_M5.4_i36_D1.5,3E5C,1,Novel,0,0,10.9,,13,2
m2.8_M5.4_i36_D1.5,3E5C,2,Novel,0,0,14,,13,2
m2.8_M5.4_i36_D1.5,3NPQ,1,Known,0.5,1,4.55,,13,2
m2.8_M5.4_i36_D1.5,3NPQ,2,Known,0.346,1,5.54,,13,2
m2.8_M5.4_i36_D1.5,4B5R,1,Novel,0,0,14.9,,13,2
m2.8_M5.4_i36_D1.5,4B5R,2,Novel,0,0,19.9,,13,2
m2.8_M5.4_i36_D1.5,4RZD,1,Known,1,0.946,1.37,,13,2
m2.8_M5.4_i36_D1.5,4RZD,2,Novel,0,0,21.3,,13,2
m2.8_M5.4_i36_D1.5,5KX9,2,Known,0.593,0.89,3.31,,13,2
m2.8_M5.4_i36_D1.5,5KX9,1,Novel,0,0,17.9,,13,2
m2.8_M5.4_i36_D1.5,6FZ0,1,Known,0.63,0.988,3.65,,13,2
m2.8_M5.4_i36_D1.5,6FZ0,2,Novel,0.037,0.0169,9.74,,13,2
m2.8_M5.4_i36_D1.5,6LAS,1,Known,0.593,1,3.75,,13,2
m2.8_M5.4_i36_D1.5,6LAS,2,Novel,0,0,12,,13,2
m2.8_M5.4_i36_D1.5,6UBU,1,Known,1,1,0.873,,13,1
m2.8_M5.4_i36_D1.5,7ELR,1,Known,1,0.909,1.17,,13,1
m2.8_M5.4_i36_D1.5,8D2B,1,Known,0.696,1,3.9,,13,1
m2.8_M5.4_i36_D1.55,1F27,1,Known,0.75,1,1.46,,13,1
m2.8_M5.4_i36_D1.55,1Q8N,1,Known,1,0.881,1.15,,13,1
m2.8_M5.4_i36_D1.55,2GDI,1,Known,0.5,0.855,5.59,,13,1
m2.8_M5.4_i36_D1.55,3E5C,1,Novel,0,0,11,,13,2
m2.8_M5.4_i36_D1.55,3E5C,2,Novel,0,0,14,,13,2
m2.8_M5.4_i36_D1.55,3NPQ,1,Known,0.5,1,4.55,,13,2
m2.8_M5.4_i36_D1.55,3NPQ,2,Known,0.346,1,5.54,,13,2
m2.8_M5.4_i36_D1.55,4B5R,1,Novel,0,0,14.9,,13,2
m2.8_M5.4_i36_D1.55,4B5R,2,Novel,0,0,19.9,,13,2
m2.8_M5.4_i36_D1.55,4RZD,1,Known,1,0.946,1.37,,13,3
m2.8_M5.4_i36_D1.55,4RZD,2,Novel,0,0,10.1,,13,3
m2.8_M5.4_i36_D1.55,4RZD,3,Novel,0,0,21.3,,13,3
m2.8_M5.4_i36_D1.55,5KX9,2,Known,0.593,0.89,3.31,,13,2
m2.8_M5.4_i36_D1.55,5KX9,1,Novel,0,0,18.1,,13,2
m2.8_M5.4_i36_D1.55,6FZ0,1,Known,0.63,0.988,3.65,,13,2
m2.8_M5.4_i36_D1.55,6FZ0,2,Novel,0.222,0.19,8.89,,13,2
m2.8_M5.4_i36_D1.55,6LAS,1,Known,0.593,1,3.75,,13,2
m2.8_M5.4_i36_D1.55,6LAS,2,Novel,0,0,12,,13,2
m2.8_M5.4_i36_D1.55,6UBU,1,Known,1,1,0.873,,13,1
m2.8_M5.4_i36_D1.55,7ELR,1,Known,1,0.909,1.17,,13,1
m2.8_M5.4_i36_D1.55,8D2B,1,Known,0.696,1,3.9,,13,1
m2.8_M5.4_i36_D1.6,1F27,1,Known,0.75,1,1.46,,13,1
m2.8_M5.4_i36_D1.6,1Q8N,1,Known,1,0.881,1.15,,13,1
m2.8_M5.4_i36_D1.6,2GDI,1,Known,0.5,0.855,5.59,,13,1
m2.8_M5.4_i36_D1.6,3E5C,3,Known,0.667,1,3.7,,13,3
m2.8_M5.4_i36_D1.6,3E5C,1,Novel,0,0,11,,13,3
m2.8_M5.4_i36_D1.6,3E5C,2,Novel,0,0,14,,13,3
m2.8_M5.4_i36_D1.6,3NPQ,1,Known,0.5,1,4.55,,13,2
m2.8_M5.4_i36_D1.6,3NPQ,2,Known,0.346,1,5.54,,13,2
m2.8_M5.4_i36_D1.6,4B5R,1,Novel,0,0,14.9,,13,2
m2.8_M5.4_i36_D1.6,4B5R,2,Novel,0,0,19.9,,13,2
m2.8_M5.4_i36_D1.6,4RZD,1,Known,1,0.948,1.46,,13,3
m2.8_M5.4_i36_D1.6,4RZD,2,Novel,0,0,10.1,,13,3
m2.8_M5.4_i36_D1.6,4RZD,3,Novel,0,0,20.3,,13,3
m2.8_M5.4_i36_D1.6,5KX9,2,Known,0.593,0.894,3.23,,13,3
m2.8_M5.4_i36_D1.6,5KX9,1,Novel,0,0,18.1,,13,3
m2.8_M5.4_i36_D1.6,5KX9,3,Novel,0.222,0.194,7.35,,13,3
m2.8_M5.4_i36_D1.6,6FZ0,1,Known,0.63,0.988,3.65,,13,2
m2.8_M5.4_i36_D1.6,6FZ0,2,Overlap,0.37,0.258,8.84,,13,2
